Nome Hotel,Località,Valutazione,Commento,Nome Recensore,Data Recensione,Commento Tradotto,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Orange Hotel,Roma,4,"We chose this hotel for proximity to Vatican City and the many amenities; room service, rooftop meals, rooftop view, handicap, accessible everywhere. Well, the restaurant was closed . The Jacuzz you have to pay €32 per person to use. We called the hotel from the airport for early check-in were told we could get early check-in by 11 o’clock. We paid for a taxi service for all of us to get there inc ... Mostra altro",Carol,2023-09-26,"We chose this hotel for proximity to Vatican City and the many amenities; room service, rooftop meals, rooftop view, handicap, accessible everywhere. Well, the restaurant was closed . The Jacuzz you have to pay €32 per person to use. We called the hotel from the airport for early check-in were told we could get early check-in by 11 o’clock. We paid for a taxi service for all of us to get there inc ... Mostra altro",,,,,,
Orange Hotel,Roma,4,This property is very run down and dirty. The mirrors in the room I was given looked liked they were never cleaned. The bathroom was leaky and the water was not draining. I kept getting told they will fix the issues in the morning and that they didn’t have another room to move me too. I spoke with other people as I was there and they had the same issues. Luckily I was only there for one night. Don ... Mostra altro,Annisha,2023-06-30,This property is very run down and dirty. The mirrors in the room I was given looked liked they were never cleaned. The bathroom was leaky and the water was not draining. I kept getting told they will fix the issues in the morning and that they didn’t have another room to move me too. I spoke with other people as I was there and they had the same issues. Luckily I was only there for one night. Don ... Mostra altro,,,,,,
Orange Hotel,Roma,2,It's very dirty! Toilet bowl doesn't work!,Xuemei,2023-06-27,It's very dirty! Toilet bowl doesn't work!,,,,,,
Orange Hotel,Roma,2,"There was no AC or hot water in the room we had. I discovered that there was no hot water the day we checked in but were never told that. Took a cold shower on Day 1...the room was like 85degrees so it didnt matter. When i complained about the AC, there was no follow-up. They offered another room but the entire property was without hot water. It appears from the reviews this has happened before. I ... Mostra altro",Gina,2023-06-21,"There was no AC or hot water in the room we had. I discovered that there was no hot water the day we checked in but were never told that. Took a cold shower on Day 1...the room was like 85degrees so it didnt matter. When i complained about the AC, there was no follow-up. They offered another room but the entire property was without hot water. It appears from the reviews this has happened before. I ... Mostra altro",,,,,,
Orange Hotel,Roma,4,This was a very disappointing hotel - run down - smelly rooms - no roof deck bar - no breakfast- did not get 2 of the 3 rooms i booked yet waz charged for the larger rooms,Viaggiatore,2023-06-04,This was a very disappointing hotel - run down - smelly rooms - no roof deck bar - no breakfast- did not get 2 of the 3 rooms i booked yet waz charged for the larger rooms,,,,,,
Orange Hotel,Roma,4,"Check in was smooth no problems staff were pleasant. However, once my gf and I got to our room it was a turn for the worst. Found another persons hair immediately on the bed and on the ground. Stains on walls and floor however I can handle that. What I can’t handle is the fact there is MOLD and left over used Q tips lying on the table and in the shower. Additionally, sheets and towels left us feel ... Mostra altro",Bryant,2023-05-28,"Check in was smooth no problems staff were pleasant. However, once my gf and I got to our room it was a turn for the worst. Found another persons hair immediately on the bed and on the ground. Stains on walls and floor however I can handle that. What I can’t handle is the fact there is MOLD and left over used Q tips lying on the table and in the shower. Additionally, sheets and towels left us feel ... Mostra altro",,,,,,
Orange Hotel,Roma,4,"We didn’t enjoy our stay at the Orange Hotel in Rome. The room was dirty, especially the floors and there were no toiletries in the bathroom. Despite flagging this to the reception, nothing was done about it. The floor had hairs everywhere and the bathroom hadn’t been properly cleaned. The rooms are very small and the mini fridge wasn’t working. Room was in old/poor condition. I don’t see how this ... Mostra altro",Tunay,2023-02-22,"We didn’t enjoy our stay at the Orange Hotel in Rome. The room was dirty, especially the floors and there were no toiletries in the bathroom. Despite flagging this to the reception, nothing was done about it. The floor had hairs everywhere and the bathroom hadn’t been properly cleaned. The rooms are very small and the mini fridge wasn’t working. Room was in old/poor condition. I don’t see how this ... Mostra altro",,,,,,
Orange Hotel,Roma,2,So I thought I was booking a 4* hotel and I’ll give it as honestly as I can. This isn’t a 4* hotel. The rooms are big with a fair sized bathroom but there are so many things that are wrong with this hotel. • The AC wasn’t working so has to have a window open which meant it was noisy. • The TV didn’t work - it’s usually in Italian anyway so this wasn’t a real issue but should still work • There was ... Mostra altro,Ashley,2022-12-12,So I thought I was booking a 4* hotel and I’ll give it as honestly as I can. This isn’t a 4* hotel. The rooms are big with a fair sized bathroom but there are so many things that are wrong with this hotel. • The AC wasn’t working so has to have a window open which meant it was noisy. • The TV didn’t work - it’s usually in Italian anyway so this wasn’t a real issue but should still work • There was ... Mostra altro,,,,,,
Hotel Dei Fiori,Milano,4,"Seems like it's a former ""projects"" building converted in to a hotel, in the middle of the ""projects"". Lots of graffiti around, and it made me wonder why some of the cars in the parking lot had security boots on the steering wheel. AC was old and not working properly on a 98 degree day. Door lock hard to open. Small twin beds. 3 stars are above the entrance door, maybe to keep your expectations lo ... Mostra altro",Viaggiatore,2023-07-16,"Seems like it's a former ""projects"" building converted in to a hotel, in the middle of the ""projects"". Lots of graffiti around, and it made me wonder why some of the cars in the parking lot had security boots on the steering wheel. AC was old and not working properly on a 98 degree day. Door lock hard to open. Small twin beds. 3 stars are above the entrance door, maybe to keep your expectations lo ... Mostra altro",,,,,,
Hotel Dei Fiori,Milano,2,"Hotel was quite old. Also, some rooms has not minibar, as mine. I had security problem, the hotels room's door does not able to lock. I did not feel safe, then I left hotel. Hotels.com said to me your money will be refunded. However, they did not give my money back. The hotel argue that doors always the same as normal. However, they should know, if the door doesnt able to lock, it is not normal. A ... Mostra altro",Ece,2021-12-04,"Hotel was quite old. Also, some rooms has not minibar, as mine. I had security problem, the hotels room's door does not able to lock. I did not feel safe, then I left hotel. Hotels.com said to me your money will be refunded. However, they did not give my money back. The hotel argue that doors always the same as normal. However, they should know, if the door doesnt able to lock, it is not normal. A ... Mostra altro",,,,,,
Hotel Primavera,Stresa,2,"I had a terrible experience in this hotel as it never happened to me before. I stayed 2 nights in this place with my partner & daughter in January as no other hotels were opened in the area at this period unfortunately. As the heating was not working properly and we were freezing, we decided to use the blankets in the closet. Big mistake that shouldn't have happened! After the 2d night i started t ... Mostra altro",Estelle,2023-02-20,"I had a terrible experience in this hotel as it never happened to me before. I stayed 2 nights in this place with my partner & daughter in January as no other hotels were opened in the area at this period unfortunately. As the heating was not working properly and we were freezing, we decided to use the blankets in the closet. Big mistake that shouldn't have happened! After the 2d night i started t ... Mostra altro",,,,,,
Hotel Primavera,Stresa,4,Dated room bed was worn big dip it mattress. Excellent location. Awful breakfast.,Sam,2022-08-09,Dated room bed was worn big dip it mattress. Excellent location. Awful breakfast.,,,,,,
Boutique Hotel Trevi,Roma,4,"Not very modern, felt unkempt - found a few bugs in the bathroom - musty smell - front office was not all that friendly - just taking care of another tourist - however - great breakfast buffet - but the room was warm where you eat",Alberto,2023-09-08,"Not very modern, felt unkempt - found a few bugs in the bathroom - musty smell - front office was not all that friendly - just taking care of another tourist - however - great breakfast buffet - but the room was warm where you eat",,,,,,
Boutique Hotel Trevi,Roma,4,"Check in was easy, however in my room the sinks & fixtures were rusted/falling apart. I understand it’s Italy & bathrooms are not always modern but …the Tap for the bidet beside the toilet kept falling off, the sink when I pressed plug down to gather water ..then wouldn’t open again. Staff was ok, but was turned off after checking out when I told them “I put my gelato in the fridge freezer lastnig ... Mostra altro",Sara,2023-07-03,"Check in was easy, however in my room the sinks & fixtures were rusted/falling apart. I understand it’s Italy & bathrooms are not always modern but …the Tap for the bidet beside the toilet kept falling off, the sink when I pressed plug down to gather water ..then wouldn’t open again. Staff was ok, but was turned off after checking out when I told them “I put my gelato in the fridge freezer lastnig ... Mostra altro",,,,,,
Boutique Hotel Trevi,Roma,4,L'unica cosa positiva è la posizione. Albergo vecchio e tenuto male. Doccia in pessime condizioni e colazione assolutamente deludente. Più che un 4 stelle è un 2 stelle,Alessandro,2023-10-02,The only positive thing is the location.Old hotel and badly kept.Show in poor condition and absolutely disappointing breakfast.More than a 4 -star it is a 2 star,,,,,,
Boutique Hotel Trevi,Roma,4,La posizione. Stanze piccole E servizio NON da 4 stelle Bagno miscroscopico,Andrea,2022-03-03,The position.Small rooms and service not from 4 stars Mamroscopic bathroom,,,,,,
Best Western Blu Hotel Roma,Roma,4,"The room was good, We booked a Junior Suite room, but they didn't have a Coffee machine and no Steam iron box in the room. They are basic features for any decent hotel and not having them for a Junior Suite room is very bad.",Viaggiatore,2023-08-29,"The room was good, We booked a Junior Suite room, but they didn't have a Coffee machine and no Steam iron box in the room. They are basic features for any decent hotel and not having them for a Junior Suite room is very bad.",,,,,,
Best Western Blu Hotel Roma,Roma,4,"When we arrived the a/c in the entire hotel was broken. They did not inform guests of this, or rectify the situation by a restaurant voucher, money off room etc. room was big and nice otherwise, staff were ok. Restaurant on site way overpriced. 7/10 if a/c worked, 4/10 because of broken a/c and staff response.",David Andrew,2023-07-05,"When we arrived the a/c in the entire hotel was broken. They did not inform guests of this, or rectify the situation by a restaurant voucher, money off room etc. room was big and nice otherwise, staff were ok. Restaurant on site way overpriced. 7/10 if a/c worked, 4/10 because of broken a/c and staff response.",,,,,,
Best Western Blu Hotel Roma,Roma,4,"Staff was trying their best to work with what they have. Management is failing the property. Booked 3 nights stay in the first week of June, 2023 when it’s already hot in Rome. AC didn’t work in the entire hotel. When asked about timeline when it will be resolved, was told “don’t know” and “may be in the middle of July. We are waiting for detail…”was given fans instead of AC. Rooms are small and n ... Mostra altro",Ihar,2023-06-13,"Staff was trying their best to work with what they have. Management is failing the property. Booked 3 nights stay in the first week of June, 2023 when it’s already hot in Rome. AC didn’t work in the entire hotel. When asked about timeline when it will be resolved, was told “don’t know” and “may be in the middle of July. We are waiting for detail…”was given fans instead of AC. Rooms are small and n ... Mostra altro",,,,,,
Holiday Inn Rome - Eur Parco Dei Medici,Roma,4,Room leaks. They charge for everything. Outdated bathroom.,Zorahayda,2023-08-08,Room leaks. They charge for everything. Outdated bathroom.,,,,,,
Holiday Inn Rome - Eur Parco Dei Medici,Roma,2,"Staff are very condescending and rude. You either have a floor with a working vending machine or ice machine. Pool was under construction in late July. All rooms do not have mini fridges. Ac does not work properly in the rooms. This is absolutely not a 4 star hotel more like 2 stars at best, stop misleading people and false advertising!!",Viaggiatore,2023-07-26,"Staff are very condescending and rude. You either have a floor with a working vending machine or ice machine. Pool was under construction in late July. All rooms do not have mini fridges. Ac does not work properly in the rooms. This is absolutely not a 4 star hotel more like 2 stars at best, stop misleading people and false advertising!!",,,,,,
Holiday Inn Rome - Eur Parco Dei Medici,Roma,2,"AC and toilet did not working. After multiple calls they came and fixed the toilet but the AC still did not work properly. It was so hot in the room which made it extremely hard to sleep. Very uncomfortable. They didn’t have any other rooms available either, they provided two fans which were weak and didn’t help at all. We had no other choice but to stay in that room. Wouldn’t recommend this.",Viaggiatore,2023-07-09,"AC and toilet did not working. After multiple calls they came and fixed the toilet but the AC still did not work properly. It was so hot in the room which made it extremely hard to sleep. Very uncomfortable. They didn’t have any other rooms available either, they provided two fans which were weak and didn’t help at all. We had no other choice but to stay in that room. Wouldn’t recommend this.",,,,,,
Holiday Inn Rome - Eur Parco Dei Medici,Roma,2,property look old and outside dirty,Viaggiatore,2023-04-22,property look old and outside dirty,,,,,,
Holiday Inn Rome - Eur Parco Dei Medici,Roma,4,"I have stayed here in the past and have always had a positive experience. However, this time it was not a pleasant experience at all! The servers in the bar area were rude and acted annoyed when I wanted to order a coffee, drink or meal. I was nervous to ask to be honest! The AC barely worked (I was on the 6th floor) and I woke up covered in sweat. The overall temperature in the room reminded me o ... Mostra altro",Viaggiatore,2021-08-12,"I have stayed here in the past and have always had a positive experience. However, this time it was not a pleasant experience at all! The servers in the bar area were rude and acted annoyed when I wanted to order a coffee, drink or meal. I was nervous to ask to be honest! The AC barely worked (I was on the 6th floor) and I woke up covered in sweat. The overall temperature in the room reminded me o ... Mostra altro",,,,,,
Idea Hotel Milano San Siro,Milano,4,"Struttura molto peggiorata negli anni. Maniglia doccia rotta, tenda con strappi, vetri crepati.",Gerard Stephen,2023-10-01,"Structure much worse over the years.Broken shower handle, curtains with tears, crackled glass.",,,,,,
Idea Hotel Milano San Siro,Milano,2,"Siamo stati in linea per mezz’ora quando siamo arrivati per ricevere le chiave. Abbiamo dovuto fare un pago per un impuesto locale non detto sulla prenotazione prima, abbiamo dovuto pagare 8 giorno a giorno per il parcheggio, ne anche questo è stato detto al momento di fare la prenotazione. La porta della camera era tutta rotta (guardare immagini, per favore). la scatola di sicurezza non aveva bat ... Mostra altro",Alejandro,2023-08-06,"We went online for half an hour when we arrived to receive the key.We had to pay for an unbelievous unsaid place on the booking first, we had to pay 8 day per day for parking, nor was this said when booking.The door of the room was all broken (watch images, please).The safety box had no bat ... shows more",,,,,,
Idea Hotel Milano San Siro,Milano,8,"Siamo stati solo una notte, per cui giudicare bene la struttura non è possibile. Però per questa unica notte non ci possiamo lamentare. Camera spaziosa, letto comodo, aria condizionata funzionante, colazione inclusa niente male. Se dovessi scegliere un hotel nei pressi dello stadio per una notte, sicuramente lo riprenderei in considerazione.",Bruno,2023-07-22,"We only stayed one night, so judge the structure well is not possible.But for this single night we cannot complain.Spacious room, comfortable bed, working air conditioning, breakfast included not bad.If I had to choose a hotel near the stadium for one night, I would definitely take it back into consideration.",,,,,,
Idea Hotel Milano San Siro,Milano,6,"Hotel in una posizione comoda vicino allo stadio San Siro,ma un po' trascurato,oltretutto il parcheggio interno si paga,in un posto dove difficilmente si può parcheggiare nei dintorni, stanze ampie ma da qualcosa và ristrutturata",Maria Grazia,2023-07-21,"Hotel in a comfortable location near the San Siro stadium, but a little neglected, moreover the internal parking is paid, in a place where you can hardly park in the surroundings, large rooms but from something it is renovated",,,,,,
Idea Hotel Milano San Siro,Milano,6,non mi è piaciuto avere dei vicini di stanza che fumassero in stanza con porta aperta e fumo x tutto il corridoio...,Davide,2023-07-21,I didn't like having rooms in the room smoking in the room with open door and smoke for the whole corridor ...,,,,,,
Idea Hotel Milano San Siro,Milano,4,"L’hotel tenuto molto male e sporco. Solo il prezzo è accettabile per una struttura alle porte di Milano; la receptionista è estremamente non gradevole, completamente distaccata e si è rivolta a noi con poca educazione. Stesso maleducazione l’ha dimostrata anche con altre persone che erano lì con noi al check in.",MAURIZIO,2023-07-21,"The hotel kept very bad and dirty.Only the price is acceptable for a structure on the outskirts of Milan;The receptionist is extremely not pleasant, completely detached and turned to us with little education.The same rudeness also demonstrated it with other people who were there with us at check in.",,,,,,
Idea Hotel Milano San Siro,Milano,10,Ottima struttura,Diletta,2023-07-14,Excellent structure,,,,,,
Idea Hotel Milano San Siro,Milano,2,Non rispondono sembra un hotel fantasma,Giacomo,2023-06-30,They don't answer it looks like a ghost hotel,,,,,,
Idea Hotel Milano San Siro,Milano,6,"Nonostante abbia mandato un email con cui chiedevo se fosse possibile anticipare il check-in, considerato il fatto che siamo atterrati alle 9 del mattino, ma non c’è mai stata una risposta. L’accoglienza è stata ottima, molto ospitale. Una volta saliti in camera ci siamo accorti che il phono dei capelli non funzionava , così come l’aria condizionata",Marika,2023-06-19,"Despite having sent an email with which I asked if it was possible to anticipate the check-in, considering the fact that we landed at 9 in the morning, but there has never been an answer.The welcome was excellent, very hospitable.Once we went up to the room we realized that the hair of the hair did not work, as well as air conditioning",,,,,,
Idea Hotel Milano San Siro,Milano,2,"si tratta di stanze spoche , con moquette che emanano cattivo odore",Francesco,2023-06-16,"These are dirty rooms, with carpet that emanate bad smell",,,,,,
Unahotels Cusani Milano,Milano,8,"Dopo la terribile esperienza del vicinissimo Hotel London (che sconsiglio a chiunque), era difficile trovare di peggio. Devo dire che l’UnaCusani è un ottimo hotel, pulito con personale di servizio gentile, disponibile e cordiale. Le camere sono pulite spaziose e silenziose. Posizione top, tornerò quando sarò su Milano.",Gabriele,2023-08-03,"After the terrible experience of the nearby Hotel London (who advise against anyone), it was difficult to find worse.I must say that Uncusani is an excellent hotel, clean with kind, helpful and friendly service staff.The rooms are spacious and quiet clean.Top position, I will return when I will be on Milan.",,,,,,
Unahotels Cusani Milano,Milano,8,"Tutto e andato benissimo. Albergo e molto centrale, vicino al Duomo ed al Castello come alla Stazione di treni. Buona prima colazione. Personale sympatico ed aiutante. Solo non si vede dalla finestra dal lato non rumoroso:).",Lucie,2022-08-08,"Everything went very well.Hotel and very central, near the Duomo and the castle as at the train station.Good breakfast.Sympatic and helper staff.Only it is not seen from the window on the non -noisy side :).",,,,,,
Unahotels Cusani Milano,Milano,10,Posizione ottimale Ero per lavoro metro a 20 mt Da loco cambio gestione con UNA ci sono ancora cosa da sistemare per raggiungere standard UNA nuova Però consiglio al 100%,PASQUALE,2022-05-08,Optimal location I was for Metro work at 20 meters from loco change management with a one there are still what to be placed to reach a new one but 100% advice,,,,,,
Unahotels Cusani Milano,Milano,10,Cortesia e comodità,Alfredo,2022-04-28,Courtesy and comfort,,,,,,
Unahotels Cusani Milano,Milano,8,Struttura pulita ed accogliente. Unica pecca la mancaza di parcheggio.,bergamin,2022-01-05,Clean and welcoming structure.The only flaw is the lack of parking.,,,,,,
Unahotels Cusani Milano,Milano,8,"Ottima posizione, camera spaziosa anche se il bagno sarebbe un po da rimodernare. La colazione non all'altezza di un 4 stelle. Personale alla reception gentilissimo",Laura,2021-12-25,"Excellent location, spacious room even if the bathroom would be a bit to tow.Breakfast not up to a 4 -star height.Staff at the very kind reception",,,,,,
Unahotels Cusani Milano,Milano,8,hotel già utilizzato varie volte e sempre all'altezza delle richieste,claudia,2021-11-24,Hotels already used several times and always up to requests,,,,,,
Unahotels Cusani Milano,Milano,4,I miei soggiorni precedenti erano ottimi ma stavolta abbiamo patito il freddo, il riscaldamento non funzionava e lo scaldasalviette in bagno era spento, abbiamo segnalato il problema ma non è stato risolto, alcune lampadine erano non funzionanti e la stanza risultava buia.,Renato,2021-10-18,My previous stays were excellent but this time we suffered the cold,The heating did not work and the water heaters in the bathroom was off,We reported the problem but it was not solved,Some bulbs were not working and the room was dark.
Unahotels Cusani Milano,Milano,10,"Pulita,centralissima",Viaggiatore,2021-07-10,"Clean, very central",,,,,,
Art Hotel Museo,Prato,10,Excellent hotel! One of the best I've ever stayed at its class! The team is very polite and helpful! The room is large and the beds are very comfortable. The bathroom is also big! Everything is very clean and well maintained. Impeccable housekeeping! The breakfast is plentiful and very good! The restaurant is also amazing! Great dishes! The location of the hotel is perfect! Easy access to the city ... Mostra altro,Cesar Augusto,2023-10-10,Excellent hotel! One of the best I've ever stayed at its class! The team is very polite and helpful! The room is large and the beds are very comfortable. The bathroom is also big! Everything is very clean and well maintained. Impeccable housekeeping! The breakfast is plentiful and very good! The restaurant is also amazing! Great dishes! The location of the hotel is perfect! Easy access to the city ... Mostra altro,,,,,,
Art Hotel Museo,Prato,8,Very nice hotel for our overnight stay. Only 15 minute drive to the airport.,Alan,2023-07-28,Very nice hotel for our overnight stay. Only 15 minute drive to the airport.,,,,,,
Art Hotel Museo,Prato,8,Was good everything,Stephanie,2023-07-13,Was good everything,,,,,,
Art Hotel Museo,Prato,8,"The room was nice, very clean when we entered. However, there was no AC which was uncomfortable during the day as it can get quite humid in the room, especially after showering. The restaurant downstairs had great food. It was convenient that the front counter would call a taxi for you, so that was definitely a plus. It was quite a short taxi ride to and from the train station so the location is c ... Mostra altro",Marissa,2023-05-15,"The room was nice, very clean when we entered. However, there was no AC which was uncomfortable during the day as it can get quite humid in the room, especially after showering. The restaurant downstairs had great food. It was convenient that the front counter would call a taxi for you, so that was definitely a plus. It was quite a short taxi ride to and from the train station so the location is c ... Mostra altro",,,,,,
Art Hotel Museo,Prato,10,Ok,Luigi,2022-12-31,Ok,,,,,,
Art Hotel Museo,Prato,4,Gave me the ugly room of level 1. 80s style room. Mattress pillow bathroom all need Reno. Wifi was intermittent. Last time the room was 3rd floor. Renovated. This was actually crap.,RISHI,2022-10-15,Gave me the ugly room of level 1. 80s style room. Mattress pillow bathroom all need Reno. Wifi was intermittent. Last time the room was 3rd floor. Renovated. This was actually crap.,,,,,,
Art Hotel Museo,Prato,8,Newly renovated bathroom. Mattress and pillows need to be changed,RISHI,2022-09-04,Newly renovated bathroom. Mattress and pillows need to be changed,,,,,,
Art Hotel Museo,Prato,10,The hotel was good and close to Florence.,Valeriu,2022-08-23,The hotel was good and close to Florence.,,,,,,
Art Hotel Museo,Prato,10,Nice short stay. The room was clean and staff friendly. Gated parking for a fee. It was nice they allowed our dogs without a fee. Would stay again.,Emily,2022-06-20,Nice short stay. The room was clean and staff friendly. Gated parking for a fee. It was nice they allowed our dogs without a fee. Would stay again.,,,,,,
Art Hotel Museo,Prato,10,"Loved it all, and will be back!",Magdalena,2022-06-11,"Loved it all, and will be back!",,,,,,
Art Hotel Museo,Prato,10,"L’albergo ha una posizione molto comoda per il Museo Pecci, inoltre la camera è molto funzionale, cosa non scontata. Personale professionale e gentile e ristorante di livello: vale la pena cenare in hotel. Colazione fantastica",maria patrizia,2023-07-17,"The hotel has a very convenient location for the Pecci Museum, moreover the room is very functional, which is not obvious.Professional and kind staff and level restaurant: it is worth dinner at the hotel.Fantastic breakfast",,,,,,
Art Hotel Museo,Prato,10,"Camere rinnovate ampie, confortevoli e molto silenziose. Ottima la pulizia. Personale professionale e cortese.",Francesca,2023-06-03,"Large, comfortable and very quiet renewed rooms.Excellent cleaning.Professional and courteous staff.",,,,,,
Art Hotel Museo,Prato,10,"Ottimo hotel, struttura moderna e ben tenuta. Camera spaziosa con una stanza/ cabina (armadio) che si è rivelata una manna dal cielo, essendo noi in 4. Colazione varia e abbondante. Personale gentile e disponibile. Vicinissimo a Firenze. Lo consiglio.",Antonio,2022-08-23,"Excellent hotel, modern and well -kept structure.Spacious room with a room/ cabin (wardrobe) which proved to be a manna from the sky, being in 4. Various and abundant breakfast.Kind and helpful staff.Very close to Florence.I advise.",,,,,,
Art Hotel Museo,Prato,6,La zona non è lontana dal centro. La camera è silenziosa ma non molto grande. Non ha le caratteristiche di un 4 stelle. Poi mancano ciabattine e altre amenità... Colazione ok ma non eccezionale. Prezzo complessivo ragionevole.,luca,2022-07-28,The area is not far from the center.The room is quiet but not very large.It does not have the characteristics of a 4 star.Then there are no ciabattine and other amenities ... Breakfast ok but not exceptional.Reasonable total price.,,,,,,
Art Hotel Museo,Prato,10,Hotel molto carino e comodo da raggiungere. Prezzo buono e stanze abbastanza grandi e comode,Ming Hua,2022-01-21,Very nice and comfortable hotel to reach.Good price and quite large and comfortable rooms,,,,,,
Art Hotel Museo,Prato,8,"Questo albergo viene usato frequentemente dalle società, visto il numero di aule per la formazione, che mette a disposizione della clientela,ed è per questo motivo che lo frequento dal 1992 e per me é e per la mia azienda é sempre stato un punto di riferimento su Prato. La struttura é confortevole ed estremamente comoda da raggiunge.",Antonio,2021-07-26,"This hotel is frequently used by the companies, given the number of classrooms for training, which makes available to customers, and it is for this reason that I have been attending it since 1992 and for me it is and for my company it has always been a point of referenceon Prato.The structure is comfortable and extremely comfortable to reach.",,,,,,
