Nome Hotel,Località,Valutazione,Commento,Nome Recensore,Data Recensione,Commento Tradotto,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Art Hotel Museo,Prato,6,"Arrivare alle 19 per poter cenare solo alle 22. Infatti a quest’ora non avevo tanta scelta per i piatti ed anche chiedendo un contorno, mi portano la carne senza dicendomi che non c’è più. lo staff del ristorante sono al top anche se purtroppo visto la situazione non sanno gestire correttamente il cliente. Lo staff della réception dovrebbero sorridere e considerare il cliente soprattutto quando è  ... Mostra altro",deborah,2021-01-21,"Getting at 7pm in order to have dinner only at 10 pm. In fact, at this hour I had not a lot of choice for the dishes and also asking for a side dish, they bring me the meat without saying that there is no longer.The restaurant staff are at the top although unfortunately given the situation they do not know how to manage the customer correctly.Réception staff should smile and consider the customer especially when it is ... shows more",,,,,,
Hotel  Mozart,Milano,10,It was amazing and best value for money for money,Afshin,2023-10-31,It was amazing and best value for money for money,,,,,,
Hotel  Mozart,Milano,8,Lovely hotel with small but cosy rooms. Helpful and friendly staff.,J J,2023-10-31,Lovely hotel with small but cosy rooms. Helpful and friendly staff.,,,,,,
Hotel  Mozart,Milano,10,"We had a great stay. Hotel is 100 meters from metro station, breakfast was great and rolms refurbished and clean. Nice local area.",Albert,2023-10-29,"We had a great stay. Hotel is 100 meters from metro station, breakfast was great and rolms refurbished and clean. Nice local area.",,,,,,
Hotel  Mozart,Milano,8,"Nice place and we enjoyed having the separate areas. We specifically picked because it said it has AC. Technically, sure, but you'd never know it, even standing an inch away. The front desk provided us with fans, but don't plan on AC.",Kendra,2023-10-25,"Nice place and we enjoyed having the separate areas. We specifically picked because it said it has AC. Technically, sure, but you'd never know it, even standing an inch away. The front desk provided us with fans, but don't plan on AC.",,,,,,
Hotel  Mozart,Milano,8,"It was basically suitable as a place to stay, but nothing more. The price is poor in relation to the value.",Tóth,2023-10-16,"It was basically suitable as a place to stay, but nothing more. The price is poor in relation to the value.",,,,,,
Hotel  Mozart,Milano,10,"Friendly staff, good breakfast, very near to metro.",Caren,2023-08-09,"Friendly staff, good breakfast, very near to metro.",,,,,,
Hotel  Mozart,Milano,8,Beautiful rooms,Olivia,2023-08-08,Beautiful rooms,,,,,,
Hotel  Mozart,Milano,10,"Great location, 2 mins walk to train station staff was friendly. Breakfast was decent . Coffee was 10/10.",Michael,2023-08-04,"Great location, 2 mins walk to train station staff was friendly. Breakfast was decent . Coffee was 10/10.",,,,,,
Hotel  Mozart,Milano,6,"Good hotel,",Gabriel,2023-08-03,"Good hotel,",,,,,,
Hotel  Mozart,Milano,8,Affordable,Bassem,2023-08-03,Affordable,,,,,,
Hotel  Mozart,Milano,8,"Hotel confortevole, stanza singola abbastanza spaziosa con porta finestra sia in camera che in bagno molto ampio. Buona la colazione con abbastanza scelta.",Francesco,2023-08-30,"Comfortable hotel, single room fairly spacious with window door both in the room and in a very large bathroom.Good breakfast with quite choice.",,,,,,
Hotel  Mozart,Milano,4,L'aria condizionata era centralizzata e praticamente inesistente. Ci hanno dato un ventilatore ...,Gabriele,2023-07-24,The air conditioning was centralized and practically non -existent.They gave us a fan ...,,,,,,
Hotel  Mozart,Milano,8,Molto buono,luca,2023-07-17,Very good,,,,,,
Hotel  Mozart,Milano,8,"Hotel molto ben tenuto anche se un po’ datato. Camere pulite, colazione buona. Ottima posizione. Staff super gentile.",Antonio,2023-07-04,"Very well kept hotels even if a little dated.Clean rooms, good breakfast.Excellent position.Super kind staff.",,,,,,
Hotel  Mozart,Milano,10,"Hotel in posizione strategica per zona City Life. Ambienti comuni buoni e ampi. Checkin veloce. Camera di ottima qualità, ben illuminata, pulitissima, con tutti i confort. Bagno ampio, accessori buoni, biancheria ottima. Doccia e vasca nella mia camera, non ho idea se per tutti. Materasso comodo, tapparelle molto oscuranti, insonorizzato. Colazione credo buona e abbondante, non ho potuto assaggiar ... Mostra altro",Antonio,2023-05-05,"Strategic hotel for the City Life area.Good and large common environments.Fast checkin.Excellent quality room, well illuminated, very clean, with all comforts.Large bathroom, good accessories, excellent linen.Shower and tub in my room, I have no idea if for everyone.Comfortable mattress, very dark shutters, soundproofed.Breakfast I think good and abundant, I couldn't taste ... show more",,,,,,
Hotel  Mozart,Milano,10,"Posizione ottima Colazione super Bagno un pochino vecchio, ma pulito",Manuela,2023-05-05,"Excellent location Super Bathroom Bathroom a little old, but clean",,,,,,
Hotel  Mozart,Milano,8,"Albergo bello e con un fascino di altri tempi. Metropolitana proprio vicina, zona intorno con diversi posti per mangiare e bere. Molto buona la colazione. Staff gentile e disponibile. Consiglio assolutamente.",Alexandra,2023-03-20,"Beautiful hotel with a charm of other times.Vetro nearby, area around with several places to eat and drink.Very good breakfast.Kind and helpful staff.I recommend absolutely.",,,,,,
Hotel  Mozart,Milano,8,Buon albergo,Tullio,2023-03-02,Good hotel,,,,,,
Hotel  Mozart,Milano,4,"Struttura datata non è classificabile come un 4 stelle. Prenotata camera superior, il bagno era in condizioni imbarazzanti: muri scrostati, lavandino intasato con acqua che non defluiva, mattonelle del muro crepate, accessorio porta rotolo svitato, doccia senza possibilità di regolazione orientamento del soffione, maniglia arrugginita.",elena,2023-02-19,"Data structure cannot be classified as a 4 star.Booked superior room, the bathroom was in embarrassing conditions: peeling walls, sink clogged with water that did not flow, cracked wall tiles, unwatched roll door accessory, shower without the possibility of adjusting the shower orientation, rusty handle.",,,,,,
Hotel  Mozart,Milano,8,"Buon hotel,vicino al centro,in un quartiere con bar e ristoranti vicini,soggiorno piacevole,consigliato",Alessandro,2022-11-12,"Good hotel, near the center, in a neighborhood with nearby bars and restaurants, pleasant living room, recommended",,,,,,
Hotel Genziana,Genova,4,"Dirty rooms, leaking shower cabin, clogged drain, no heater in the bathroom, stains on the bedspread, no curtains or carpets. Bad service, I called the hotel and the clerk couldn’t speak English and just hung up the phone.",Fredrik,2023-04-05,"Dirty rooms, leaking shower cabin, clogged drain, no heater in the bathroom, stains on the bedspread, no curtains or carpets. Bad service, I called the hotel and the clerk couldn’t speak English and just hung up the phone.",,,,,,
Hotel Genziana,Genova,10,"Amazing staff, everything was like one the picture, the only thing was air conditioning which was faulty, apart from that good value for money, very clean place, I will stay again there with my 2 other friends.",Ewelina,2022-10-09,"Amazing staff, everything was like one the picture, the only thing was air conditioning which was faulty, apart from that good value for money, very clean place, I will stay again there with my 2 other friends.",,,,,,
Hotel Genziana,Genova,10,Overall I had a great experience. The room was clean and it’s in a great location. The front desk staff were very kind and had lots of good recommendations for places to go and where to eat. The hotel is similar to a hostel in that you can get a shared or private bathroom. It felt safe and comfortable and I would recommend for anyone looking for a simple place in a central location.,Viaggiatore,2022-09-11,Overall I had a great experience. The room was clean and it’s in a great location. The front desk staff were very kind and had lots of good recommendations for places to go and where to eat. The hotel is similar to a hostel in that you can get a shared or private bathroom. It felt safe and comfortable and I would recommend for anyone looking for a simple place in a central location.,,,,,,
Hotel NH Milano Touring,Milano,10,"molto comodo, in prossimità della stazione",Alfredo,2023-05-04,"very comfortable, near the station",,,,,,
Hotel NH Milano Touring,Milano,8,"Niente di speciale. Ci torno quando sono a Milano, per la posizione. Questa volta ho dimenticato di chiedere una stanza non adiacente a quella dov’è entrano ed escono di continuo le persone di servizio, con conseguente rumori della porta che sbatteva di continuo.",Carlo,2023-03-31,"Nothing special.I go back to us when I'm in Milan, for the location.This time I forgot to ask for a room not adjacent to that where it has entered and continuously the people of service come out, with consequent noises of the door that bangs continuously.",,,,,,
Hotel NH Milano Touring,Milano,4,150€ per una camera vecchia mai più,Stefano,2023-03-05,€ 150 for an old room never again,,,,,,
Hotel NH Milano Touring,Milano,4,Per il prezzo le stanze sono troppo picole mi sono sbagliato dato ordinando e il prezzo è salito di 120 euro per cambiare data.,Gagliardo,2023-02-22,For the price the rooms are too much picols I was wrong given by ordering and the price went up to 120 euros to change the date.,,,,,,
Hotel NH Milano Touring,Milano,10,"Albergo perfetto, posizione centrale, personale cordialissimo, accoglienza eccezionale. Le stanze sono grandi e i letti comodi. Non posso proprio trovare un difetto, l'albergo usa perfino energia rinnovabile. Abbiamo cenato una sera da Camelia's Yard, il signore che ci ha seguiti era gentilissimo e molto attento, il mio piatto era molto buono e c'erano anche opzioni per vegnai e vegetariani",Elke,2023-01-31,"Perfect hotel, central location, very friendly staff, exceptional welcome.The rooms are large and the beds comfortable.I just can't find a defect, the hotel even uses renewable energy.We dined one evening from Camelia's Yard, the Lord who followed us was very kind and very attentive, my dish was very good and there were also options for Vegnai and vegetarians",,,,,,
Hotel NH Milano Touring,Milano,4,In una camera prenotata come doppia ti aspetti che ci sia tutto per due…invece asciugamani per una persona…al mio reclamo mi dicono che nell’ armadio c’è il secondo set di asciugamani..ok solo quello però perché ciabatte e cuffia per doccia solo per uno…in doccia ops ..bagno schiuma..contenitore vuoto…È stata un’esperienza deludente…,giuseppe,2022-05-08,"In a room booked as double, you expect everything for two ... instead towels for a person ... at my complaint they tell me that in the wardrobe there is the second set of towels .. ok only that because slippers and shower caps for showeronly for one ... in the shower ops .. foam bagno .. empty assignor ... it was a disappointing experience ...",,,,,,
Hotel NH Milano Touring,Milano,10,"Molto gentili, upgrading senza averlo chiesto. Sorridenti. Bell’albergo centrale. Si può lasciare qui la macchina e procedere per Milano co. I mezzi o a piedi. Molto comodo. Pulito e buoi servizi",Consiglio Anna,2022-01-13,"Very kind, upgrading without asking him.Smiling.Nice hotel.You can leave the car here and proceed for Milan with.The means or on foot.Very comfortable.Clean and oxen services",,,,,,
Hotel NH Milano Touring,Milano,10,"Confermo la qualità NH. Ambienti comuni e camere di ottima fattura, tutto ben curato, pulito e funzionale. Ho usufruito del ristorante, ottimo servizio e cucina. Ottimo rapporto qualità prezzo. Servizio in reception professionale e veloce.",Antonio,2021-11-15,"I confirm the NH quality.Common environments and excellent invoice rooms, all well cared for, clean and functional.I took advantage of the restaurant, excellent service and cuisine.Excellent value for money.Professional and fast reception service.",,,,,,
Hotel NH Milano Touring,Milano,10,"Soggiorno ottimo. Personale cordiale, camera pulita, letto comodo. Location perfetta, vicina al centro e vicina alla stazione.",Viaggiatore,2021-09-02,"Excellent stay.Friendly staff, clean room, comfortable bed.Perfect location, close to the center and close to the station.",,,,,,
Hotel NH Milano Touring,Milano,10,"Ottima esperienza, camera pulita e comoda, receptionist gentilissimi e veloci, personale bar altrettanto gentile. Posizione perfetta a due passi da Brera.",Paolo,2021-08-23,"Excellent experience, clean and comfortable room, very kind and fast receptionist, equally kind personal bar.Perfect location a stone's throw from Brera.",,,,,,
Hotel ibis Milano Centro,Milano,8,Camere piccole ma funzionale. Bagno pulito e tutto bene tenuto. Buona la colazione a buffet. Consigliato,Pierpaolo,2023-09-28,Small but functional rooms.Clean and all well kept bathroom.Good breakfast buffet.Advised,,,,,,
Hotel ibis Milano Centro,Milano,10,"Un’esperienza positiva. Posizione centrale apprezzabile. L’hotel mantenuto bene, colazione ben fornita. Check-in e check-out velocissimi. Due cose: cuscini scomodi e non ci sono tazze da tè al ristorante.",Viaggiatore,2023-03-24,"A positive experience.Appreciable central location.The hotel kept well, well -stocked breakfast.Very fast check-in and check-out.Two things: uncomfortable cushions and there are no tea cups at the restaurant.",,,,,,
Hotel ibis Milano Centro,Milano,10,"Tutto magnifico hotel strategico a 10 min da porta Venezia e a 5 minuti dalla movida milanese, personale gentile e qualificato.",Gaetana,2023-03-21,"All magnificent strategic hotel 10 min from Porta Venezia and 5 minutes from the Milanese nightlife, kind and qualified staff.",,,,,,
Hotel ibis Milano Centro,Milano,4,"So che con Ibis non ti puoi aspettare un'albergo davvero buono, solo un'alloggio. L'ho scelto per posizione e laboro. Ma in nessun caso è giustificato prendere 200 Euro a notte per una camera minuscola che chiami superior, illuminata per tutta la notte come San Siro dall'altro lato hotel che non ti lascia dormire se non ti vuoi mettere in una situazione claustrofobica usando la terrificante tenda  ... Mostra altro",Viaggiatore,2023-03-10,"I know that with Ibis you cannot expect a really good hotel, just a accommodation.I chose it by location and labor.But in no case is it justified to take 200 euros per night for a tiny room that you call superior, illuminated all night like San Siro on the other side hotels that do not let you sleep if you don't want to put yourself in a claustrophobic situation using the terrifying tent... show more",,,,,,
Hotel ibis Milano Centro,Milano,10,"struttura accogliente, grande hall, ottima colazione, stanza un pò piccola ma molto confortevole, silenzi0osa e pulita. Ottima posizione vicino alla Stazione Centrale e centro storico. Da tenere in considerazione per i prossimi fine settimana. Grazie",Beatrice,2022-12-09,"Cozy structure, large hall, excellent breakfast, room a little small but very comfortable, silence and clean.Excellent location near the central station and historic center.To be taken into consideration for the next weekends.Thank you",,,,,,
Hotel ibis Milano Centro,Milano,6,"Attesa al Check-in in doppia File solo un operatore. Pagare tutto in anticipo come se siamo fuggitivi. Garage non disponibile,Sotto la finestra un parti di persone poco affidabili, al risveglio dormitorio per i senza tetto nel piazzale sotto la finestra. Purtroppo non era una buona esperienza. Cordiali saluti Nevio",Nevio,2022-09-12,"Waiting to the double file check-in only an operator.Pay everything in advance as if we are fugitive.Garage not available, under the window, a parts of unreliable people, upon dormitory awakening for the homeless in the square under the window.Unfortunately it was not a good experience.Best regards Nevio",,,,,,
Hotel ibis Milano Centro,Milano,2,"Posizione strategica e molto comoda a tutti i trasporti (metro,tram,bus) perfetta….le stanze senza servizi,necessitano di una ristrutturata e di una messa a punto. Mancano dei pezzi di mobili e tanti altri sono evidentemente usurati. Il personale alla reception molto gentile e disponibile mentre lo staff addetto alla colazione scortese e non disponibile alle richieste della clientela.",Matteo,2022-07-18,"Strategic and very comfortable position to all transport (metro, tram, bus) perfect ...There are no pieces of furniture and many others are obviously worn.The staff at the reception is very kind and helpful while the staff entrusted to the rude breakfast and not available to customers' requests.",,,,,,
Hotel ibis Milano Centro,Milano,8,"Comodo alla stazione, colazione completa e ben organizzata,struttura essenziale",Gianluca,2022-07-12,"Convenient to the station, complete and well organized breakfast, essential structure",,,,,,
Hotel ibis Milano Centro,Milano,10,Molto comodo,Bmi,2022-06-14,Very comfortable,,,,,,
Hotel ibis Milano Centro,Milano,4,"Al check-in abbiamo atteso un po’,nel mette aspettavamo una persona di colore dall’esterno chiedeva soldi nella hall. Letto scomodo, federe puzzolenti, camera con polvere..poco pulita, rubinetti con calcare. Ci hanno assegnato una camera al secondo piano e di notte era impossibile dormire per via dei tram",Greta,2022-05-16,"At check-in we waited a bit, in putting we waited for a color person from the outside asked for money in the hall.Uncomfortable bed, stinking pillowcases, room with dust .. clean, taps with limestone.They assigned us a room on the second floor and at night it was impossible to sleep because of the trams",,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,10,Perfetto !,Sevil,2022-12-19,Perfect !,,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,8,-,Marek,2022-10-26,-,,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,10,Tutto perfetto!,Alfredo,2022-01-14,All perfect!,,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,10,Non mi è piaciuto il prezzo della camera :con voi il prezzo concordato era diverso da quello che ho pagato nella struttura.il resto tutto perfetto,Guido,2021-12-09,I didn't like the price of the room: with you the agreed price was different from what I paid in the structure.,,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,10,"Unico neo: raggiungere la camera che ci è stata assegnata non è semplice, è abbastanza lontana dall'unico blocco di ascensori disponibili per i clienti",Alfredo,2021-12-02,"The only drawback: reaching the room that has been assigned to us is not simple, it is quite far from the only block of elevators available for customers",,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,8,Hotel di estremo confort in posizione centrale. Molto comodo per viaggi di lavoro,Francesco,2021-08-19,Extreme comfort hotels in a central position.Very comfortable for business trips,,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,10,Ottimo rapporto qualità prezzo in questo lussuoso albergo vicino al Duomo. Arredato e decorato in modo delizioso Quest’anno una camera Deluxe che era più una piccola suite che una camera. Molto silenziosa malgrado la posizione centrale. Prosecco inaspettatamente consegnato in camera. Molto gradito data l’occasione che io e l’amore della mia vita stavamo festeggiando. Stanza ventilata sullo stesso  ... Mostra altro,Christina,2021-07-14,Excellent value for money in this luxurious hotel near the Duomo.Deliciously decorated and decorated this year a deluxe chamber that was more a small suite than a room.Very silent despite the central location.Prosecco unexpectedly delivered to the room.Very welcome given the opportunity that the love of my life and I was celebrating.Ventilated room on the same ... shows more,,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,10,Ottimo pernottamento,Viaggiatore,2021-05-07,Great overnight stay,,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,10,"Posizione dell’hotel eccellente, personale disponibile e gentile",Riccardo,2021-01-27,"Location of the hotel excellent, helpful and kind staff",,,,,,
Rosa Grand Milano - Starhotels Collezione,Milano,6,Hotel caro per il servizio offerto. Molto approssimativo e mi sentivo sempre guardato e osservato dal personale. Camere discrete cioè alcune sono più moderne delle altre. Non c'è nessun effetto wow e non ho voglia di riprenotare questa struttura.,Viaggiatore,2020-12-25,"Dear Hotel for the service offered.Very approximate and I always felt looked at and observed by the staff.Discrete rooms, that is, some are more modern than the others.There is no wow effect and I don't want to resume this structure.",,,,,,
Hotel Da Vinci,Milano,10,La camera era molto grande e spaziosa e dotata di ogni comfort. Era tutto molto pulito e in buonissime condizioni. I letti erano grandi e comodi,mauro,2023-03-04,The room was very large and spacious and equipped with every comfort.It was all very clean and in very good condition.The beds were large and comfortable,,,,,,
Hotel Da Vinci,Milano,8,Hotel grandissimo e pulito. Personale molto gentile e sempre disponibile.,Serena,2023-03-04,Great and clean hotels.Very kind and always helpful staff.,,,,,,
Hotel Da Vinci,Milano,8,Qualità prezzo nn congruenti mi aspettavo in più cmq buona struttura,valentina,2023-03-04,Price quality nn congruent I expected in more cmq good structure,,,,,,
Hotel Da Vinci,Milano,8,"personale cordiale e attento a soddisfare le esigenze di intolleranza al lattosio al momento della colazione. Nonostante le stelle non ci sono le ciabattine di cortesia, piccolo appunto.",simona,2023-03-04,"Cordial and attentive staff to meet the needs of lactose intolerance at the time of breakfast.Despite the stars there are no courtesy slippers, a small note.",,,,,,
Hotel Da Vinci,Milano,2,"esperienza negativa, camere indecenti, inpolverate, malandate, biancheria sporca, bagno e camere puzzolenti di umidità, non capisco come abbiano 4 stelle, ambiente e struttura non curata, mouquet strappate, muri sporchi e scorticati, porte rovinate da umidità e usura. cè tanto ancora da scrivere, unica nota il personale disponibile ma poco attento.",giuseppe,2023-03-04,"Negative experience, indecent rooms, entrusted, maraunal, dirty linen, bathroom and stinking rooms of humidity, I do not understand how they have 4 stars, environment and unworthy structure, torn mouquet, dirty and scratched walls, doors ruined by humidity and wear.There is still a lot to write, the only note the available but not very careful staff.",,,,,,
Hotel Da Vinci,Milano,8,Buona,POALO MICHELE,2023-03-04,Good,,,,,,
Hotel Da Vinci,Milano,8,La struttura si trova in una zona molto brutta (ultima fermata della linea M3 in cui scendono solo migranti e gente poco affidabile). Per raggiungere il posto devi prendere un autobus dalla fermata della metro oppure fare 10 minuti di strada a piedi praticabile solo di giorno (forse). Nei dintorni si trovano solo giardini immensi con balle di fieno in mezzo e il primo market più vicino è a 15 minu ... Mostra altro,Morena,2023-03-04,The structure is located in a very ugly area (the last stop of the M3 line in which only migrants and unreliable people go down).To reach the place you have to take a bus from the metro stop or take 10 minutes by road walking only during the day (maybe).In the surroundings there are only immense gardens with hay bales in the middle and the first closest market is at 15 minu ... Show more,,,,,,
Hotel Da Vinci,Milano,10,ottimo,Cinzia,2023-03-04,Optimal,,,,,,
Hotel Da Vinci,Milano,10,"Ottima pensione a Oia che meriterebbe più di due stelle. Qualità prezzo imbattibile, innanzitutto per la posizione, a pochi passi dalla caldera. Parcheggio gratuito. Camera con tutto il necessario ed anche di più , macchina del caffè, dotazione di bagno schiuma, shampoo e balsamo separati che nemmeno in hotel a 4 stelle si trovano a volte. Vista mare e tramonto. Consigliatissimo.",Ilaria,2023-03-04,"Excellent pension in Oia who deserves more than two stars.Unbeatable price quality, first of all for the location, a few steps from the Caldera.Free parking.Room with everything you need and even more, coffee machine, separate foam, shampoo and balm equipment, which are not even in 4 -star hotel sometimes.Sea view and sunset.Highly recommended.",,,,,,
Hotel Da Vinci,Milano,2,Avuto problemi con la prenotazione e non mi hanno risolto a di mi hanno fregato i soldi. Bravi,Mahmoud,2023-03-04,He had problems with the booking and they did not solve me to Di me cheered me the money.Good,,,,,,
J24 Hotel Milano,Milano,8,consigliato!,elena,2023-03-04,advised!,,,,,,
J24 Hotel Milano,Milano,6,Pulire meglio il bagno,Gaetano,2023-03-04,Clean the bathroom better,,,,,,
J24 Hotel Milano,Milano,8,Vicina alla fermata della metro. Poco rumore nelle stanze interne e pulizia ok.,Daniele,2023-03-04,Close to the metro stop.Little noise in the internal rooms and cleaning ok.,,,,,,
J24 Hotel Milano,Milano,10,Ricevumento giovane buona struttura. Camera che aveva un po' di odore,Giorgio,2023-03-04,Young reception good structure.Room that had some smell,,,,,,
J24 Hotel Milano,Milano,6,"Entrando in camera l’odore non è stato gradevole. Si sentiva l’odore di bagno pulito male. Inoltre nella seconda stanza assegnataci, (perché nella prima lo scarico non era funzionante), abbiamo visto delle macchie marroni e in rilievo all’Interno della porta del bagno. Ci sono sembrate macchie di feci. Alcune macchioline anche vicino al lavandino. Non vedevamo l’ora di andare via. Per il resto il  ... Mostra altro",Flavio,2023-03-04,"Entering the room, the smell was not pleasant.The smell of badly cleaned bath was smelled.Furthermore, in the second room assigned us, (because in the first the exhaust was not working), we saw some brown spots and in relief inside the bathroom door.There seemed stool stains.Some specks also near the sink.We couldn't wait to leave.For the rest the ... shows more",,,,,,
J24 Hotel Milano,Milano,10,"Hotel gradevole nel centro di Milano. Tuttavia per la camera, necessita qualche attenzione. Il guardaroba all'aperto non è che sia proprio da 4 stelle di un hotel e la sedia della scrivania è veramente brutta. Sembra un panchetto per i bambini che usano al ristorante. Io direi un 3 stelle e non 4. Poi certo, sulla pulizia non c'è da dir nulla, camera comunque confortevole. L'armadio per il guardar ... Mostra altro",Giovanni Niccolo,2023-03-04,"Pleasant hotel in the center of Milan.However, for the room, it needs some attention.The outdoor wardrobe is not that it is just 4 stars from a hotel and the desk chair is really bad.It looks like a bench for children who use the restaurant.I would say a 3 star and not 4. Then of course, on cleaning there is nothing, however, a comfortable room.The wardrobe for the look ... show more",,,,,,
J24 Hotel Milano,Milano,8,Hotel molto bello in ottima posizione.,Margherita,2023-03-04,Very nice hotel in excellent location.,,,,,,
J24 Hotel Milano,Milano,6,"Stanza piuttosto essenziale (assenza di un armadio: le grucce erano appese in bella vista) ma arredata con gusto con TV piatto, minibar e bagno vivibile. Personale disponibile e cortese. Soggiorno di 2 notti in inverno con —in barba alle disposizioni sul risparmio energetico—24 gradi di temperatura, il termostato non funzionava: non si riusciva a ridurre la temperatura della stanza; la seconda not ... Mostra altro",Viaggiatore,2023-03-04,"A rather essential room (absence of a wardrobe: the hangers were hung in plain sight) but tastefully furnished with flat TV, minibar and livable bathroom.Available and courteous staff.2 -night living room in winter with —in beard to the provisions on energy saving—24 degrees of temperature, the thermostat did not work: it was not possible to reduce the temperature of the room;the second not ... show more",,,,,,
J24 Hotel Milano,Milano,8,"Materasso comodo, stanza e bagno puliti. Un po' rumorosa la struttura, non credo sia ben insonorizzata. Detto questo, una volta preso sonno non ho sentito rumori forti.",Viaggiatore,2023-03-04,"Comfortable mattress, clean room and bathroom.The structure is a little noisy, I don't think it is well soundproofed.Having said that, once you sleep I did not hear strong noises.",,,,,,
J24 Hotel Milano,Milano,10,Soggiorno comodo confortevole e ottima posizione,Giuseppe,2023-03-04,Comfortable comfortable living room and excellent location,,,,,,
Hotel NH Collection Taormina,Taormina,10,"Hotel Stupendo, posizione ottima in pieno centro, vista dalla camera bellissima. Personale sempre disponibile",Viaggiatore,2023-03-04,"Gorgeous hotel, excellent location in the center, seen by the beautiful room.Staff always available",,,,,,
Hotel NH Collection Taormina,Taormina,6,"esperienza complessivamente positiva, hotel confortevole, posizione strategica a pochi passi dal corso principale di Taormina, bellissima terrazza panoramica con lounge bar aperto fino alle 24:00. di negativo solo alcuni dettagli che non ti aspetti in un hotel 5 stelle. check-in troppo lungo, colazione standard, soffione doccia ricoperto di calcare, in uno delle due camere prese nel in un bagno ma ... Mostra altro",Romolo,2023-03-04,"Overall positive experience, comfortable hotel, strategic location a few steps from the main course of Taormina, a beautiful panoramic terrace with lounge bar open until 24:00.Only some details that you don't expect in a 5 star hotel is negative.too long check-in, standard breakfast, shower shower hand covered with limestone, in one of the two rooms taken in a bathroom but ... show more",,,,,,
Hotel NH Collection Taormina,Taormina,4,Non era da cinque stelle ...,Cristina,2023-03-04,It wasn't five stars ...,,,,,,
Hotel Genziana,Genova,4,Non aveva nulla di speciale abbastanza inquietante,Giovanna,2023-03-04,Had nothing special quite disturbing,,,,,,
Hotel Genziana,Genova,8,"Camera semplice ma confortevole. Personale molto gentile e alla mano. Unica pecca la zona un po poco tranquilla, non ci siamo sentite molto al sicuro.",Gloria,2023-03-04,"Simple but comfortable room.Very kind and hand staff.The only flaw the area a little low quiet, we didn't feel very safe.",,,,,,
